Provincia,Distrito,Posto,Localidade,Povoado,Cod__Escola,NomeEsco_1,ZIP,Agua,TipoFonte,QualiAgua,Energia,TipoEnergi,Latrina,TotalLatri,Estado_de_Conservação3,Urinois,TotalUrino,UrinoisFun,Estado_de_Conservação4,CasaBanho,TotalCB,CBFunci,Longitude,Latitude
Gaza,Xai-Xai distrito,Chongoene,Chongoene sede,Ndambine 2000,20980,Escola Secundaria Ndambine 2000,Chongoene,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,5,Bom,Sim,2,Sim,Bom,Sim,2,Sim,33.722556,-25.040694
Gaza,Guijá,Mubangoene,ToMaunine,ToMaunine,21046,Escola Secundária Samora Machel,Sede,Sim,Rede pública,Potável,Não,Nenhum,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,33.0315,-24.44838889
Gaza,Cidade de Xai-Xai,Praia,Maucanwine,Maucanwine,21036,Escola Secundária Sebastião Marcos Mabote,Tavene,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,6,Bom,Não,0,Não,Nenhum,Não,0,Não,33.85505556,-25.04105556
Gaza,Cidade de Xai-Xai,Patrice Lomumba,Patrice Lumumba,Unidade 2,20748,Escola Secundária U. 2 - Patrice Lumumba,ZIP 1,Sim,Rede pública,Potável,Sim,Rede Pública,Sim,4,Razoável,Não,0,Não,Nenhum,Não,0,Não,33.667694,-25.083056
Maputo Cidade,KaMpfumo (DU 1),Municipal KaMfumo (DU 1),KaMfumo,Alto Maé A,110023,Escola Secundária Eduardo Mondlane Xitlangu,Alto Maé,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,8,Sim,32.56688889,-25.9585
Maputo Cidade,KaMpfumo (DU 1),Municipal KaMfumo (DU 1),KaMfumo,Central A,110025,Escola Secundária Estrela Vermelha,7 de Setembro,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,18,Sim,32.573525,-25.95841944
Maputo Cidade,KaMpfumo (DU 1),Municipal KaMfumo (DU 1),KaMfumo,Alto Maé A,110047,Escola Santa Ana da Munhuana,Alto Maé,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,10,Sim,32.56829722,-25.95703056
Maputo Cidade,Nhlamankulo (DU 2),Municipal de Nhlamankulo (DU 2),Nhlamankulo,Aeroporto A,110121,Escola Secundária do Aeroporto,Unidade 10,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Sim,7,Sim,Razoável,Sim,14,Sim,32.57102778,-25.93055556
Maputo Cidade,KaMaxakeni (DU 3),Municipal KaMaxakeni (DU 3),KaMaxakeni,Maxaquene A,110173,Escola Secundária Noroeste 2,Escola Primária Completa das FPLM,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,8,Sim,32.58169444,-25.94158333
Maputo Cidade,KaMaxakeni (DU 3),Municipal KaMaxakeni (DU 3),KaMaxakeni,Maxaquene C,110177,Escola Santo António da Malhangalene,Escola Primária Completa de Kurula,Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,4,Sim,32.58975,-25.94716111
Maputo Cidade,KaMaxakeni (DU 3),Municipal KaMaxakeni (DU 3),KaMaxakeni,Polana Canico A,110352,Escola Secundária Mateus Sansão Muthemba,"Escola Primária Completa Polana Caniço ""A""",Sim,Rede pública,Potável,Sim,Rede Pública,Não,0,Nenhum,Não,0,Não,Nenhum,Sim,2,Sim,32.60582222,-25.93759722
